strategy_id,total_return,cagr,mdd,win_rate,profit_factor,avg_gain,avg_loss,avg_holding_days,params_json
strong_close,0.587611643230451,0.8955457342838771,-0.07819763202474761,0.38202247191011235,3.8357837731477686,1383420.6339831569,-222954.5598510476,8.741573033707866,"{""exit_ma"": 10, ""threshold"": 0.7}"
strong_close,0.587611643230451,0.8955457342838771,-0.07819763202474761,0.38202247191011235,3.8357837731477686,1383420.6339831569,-222954.5598510476,8.741573033707866,"{""exit_ma"": 10, ""threshold"": 0.8}"
strong_close,0.587611643230451,0.8955457342838771,-0.07819763202474761,0.38202247191011235,3.8357837731477686,1383420.6339831569,-222954.5598510476,8.741573033707866,"{""exit_ma"": 10, ""threshold"": 0.9}"
momentum,0.21457943134976776,0.308594775546974,-0.15260166872640246,0.38461538461538464,1.3084806799852495,1727198.2281691795,-825001.7819276524,8.184615384615384,"{""lookback"": 120}"
volatility,0.17758894690946625,0.25378025461968745,-0.0854581051568899,0.4107142857142857,1.5585306158657075,526634.6677164001,-235509.26817575176,6.883928571428571,"{""exit_ma"": 10, ""low_window"": 40, ""vol_window"": 20}"
volatility,0.1535960488250674,0.21857646777772355,-0.07292628479928831,0.40963855421686746,1.8953128823549277,502225.2503203614,-183865.59285130465,8.240963855421686,"{""exit_ma"": 20, ""low_window"": 60, ""vol_window"": 20}"
volatility,0.14597503965092384,0.20745283785750113,-0.07187841767449354,0.43434343434343436,1.493750392825558,391663.34084935626,-201333.16470470774,6.818181818181818,"{""exit_ma"": 10, ""low_window"": 60, ""vol_window"": 20}"
volatility,0.14394142954005051,0.20448936371860493,-0.09574315854734972,0.35135135135135137,1.486875956596292,594705.87637798,-216650.45310313176,6.972972972972973,"{""exit_ma"": 20, ""low_window"": 40, ""vol_window"": 20}"
consecutive,0.12081378596126058,0.17092929982561267,-0.04028013743462644,0.75,4.2652720661788335,1045766.0021444311,-735544.6400032183,20.875,"{""buy_days"": 5}"
mean_reversion,0.11975734781165048,0.16940261614589192,-0.045180130116130535,0.5714285714285714,1.8292372908602617,646994.3637596088,-471594.99535119545,16.428571428571427,"{""window"": 20, ""z_buy"": -1.5, ""z_sell"": -0.2}"
mean_reversion,0.11975734781165048,0.16940261614589192,-0.045180130116130535,0.5714285714285714,1.8292372908602617,646994.3637596088,-471594.99535119545,16.428571428571427,"{""window"": 20, ""z_buy"": -1.0, ""z_sell"": -0.2}"
volatility,0.11145233348674677,0.15742010722854505,-0.0943457245813405,0.4014084507042254,1.3370347361803783,412976.028518997,-207127.65247556445,5.007042253521127,"{""exit_ma"": 10, ""low_window"": 60, ""vol_window"": 10}"
consecutive,0.07746816097995857,0.10874656427215923,-0.08016152413480004,0.3333333333333333,1.4268141388472984,2097183.482523403,-734918.2438778207,35.666666666666664,"{""buy_days"": 7}"
mean_reversion,0.06702487801323298,0.09390630042303871,-0.08093747004444185,0.5666666666666667,1.3874718473316434,581799.4178058498,-548345.9896845875,19.5,"{""window"": 20, ""z_buy"": -1.5, ""z_sell"": 0.0}"
mean_reversion,0.06702487801323298,0.09390630042303871,-0.08093747004444185,0.5666666666666667,1.3874718473316434,581799.4178058498,-548345.9896845875,19.5,"{""window"": 20, ""z_buy"": -2.0, ""z_sell"": 0.0}"
